Id,Unidade,Endereco,Telefone,Link,Horario de Atendimento
10,Lojas Quero-Quero Mathias Velho,"
                    Av. Rio Grande Do Sul, 1521 - Mathias Velho - Canoas - RS, 92330-340                ",+555134622900,https://lojas.queroquero.com.br/lojas-quero-quero-mathias-velho-canoas-rs-335,"Segunda-Feira (08:30 18:30 | 08:30 18:30) 
Quarta-Feira (08:30 18:30 | 08:30 18:30) 
Sexta-Feira (08:30 18:30 | 08:30 18:30) 
"
11,Lojas Quero-Quero Igara,"
                    Rua Araguaia, 140 - Igara - Canoas - RS, 92410-000                ",+555134624700,https://lojas.queroquero.com.br/lojas-quero-quero-igara-canoas-rs-229,"Segunda-Feira (08:00 12:00 | 13:30 18:00) 
Terça-FeiraABERTO (08:00 12:00 | 13:30 18:00) 
Quarta-Feira (08:00 12:00 | 13:30 18:00) 
Quinta-Feira (08:00 12:00 | 13:30 18:00) 
Sexta-Feira (08:00 12:00 | 13:30 18:00) 
Sábado (08:00 12:00 | 13:30 18:00) 
"
